País de Origen,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total general
Alemania,244,234,237,222,229,252,250,247,194,198,218,215,258,242,230,208,206,53,"1,668"
Argentina,196,173,175,141,156,142,122,116,80,65,55,57,73,79,45,80,52,15,"1,483"
Australia,30,32,54,41,37,37,32,30,30,20,19,40,35,34,25,41,29,6,267
Austria,18,26,21,17,21,22,18,29,22,20,23,22,19,22,12,9,9,C,172
Bélgica,51,59,48,61,46,37,45,31,21,19,21,17,24,21,18,14,15,3,309
Belice,14,6,4,0,C,C,C,C,C,0,C,C,4,5,0,C,C,0,45
Brasil,60,55,83,73,65,57,69,67,53,34,42,33,40,59,38,54,39,12,579
Canadá,386,469,467,354,382,414,345,339,227,164,165,220,259,240,179,205,200,31,"3,159"
Chile,65,52,48,37,43,50,48,66,32,31,30,27,40,31,32,59,49,9,547
"China, República Popular de",107,78,68,73,71,78,69,92,84,71,67,50,79,80,57,90,68,13,"1,006"
Colombia,82,96,103,87,84,83,82,91,75,56,65,64,73,69,38,89,60,8,"1,030"
"Corea, República de",156,153,148,121,107,97,109,100,98,155,97,74,100,99,77,74,80,21,"1,139"
Costa Rica,19,24,22,21,15,14,19,15,8,8,7,13,10,21,4,10,8,0,212
Dinamarca,36,32,26,26,20,28,28,22,24,18,17,20,16,26,17,25,18,6,170
Ecuador,17,13,5,10,8,12,4,8,C,9,4,4,10,5,0,5,9,C,103
El Salvador,9,8,5,C,4,10,C,5,4,C,C,C,3,5,C,3,6,0,66
España,543,603,564,455,441,558,592,800,552,478,382,381,415,402,268,278,209,30,"5,345"
Estados Unidos de América,"4,531","4,460","3,699","3,074","3,034","3,150","2,911","3,016","2,360","2,162","2,112","2,182","2,383","2,433","2,114","2,242","2,016",912,"20,465"
Federación de Rusia,4,0,9,4,3,7,4,13,10,3,3,6,11,8,10,C,5,C,91
Filipinas,5,3,3,C,C,3,0,C,C,C,C,C,C,0,0,C,0,0,16
Finlandia,12,12,9,19,12,15,14,14,10,7,7,10,8,9,7,7,5,0,56
Francia,222,207,233,163,181,193,168,187,166,165,157,165,195,180,115,134,119,34,"1,465"
Guatemala,23,18,15,17,19,24,24,24,14,5,10,11,16,8,9,4,14,3,216
Hong Kong,11,14,7,9,12,14,10,11,9,16,19,15,23,15,20,30,37,5,150
India,17,24,25,17,20,18,18,20,12,6,8,15,15,18,7,16,11,5,187
Indonesia,C,C,C,C,C,C,3,C,C,C,C,3,C,C,C,C,0,0,10
Irlanda,21,20,14,19,18,23,20,25,13,18,13,13,14,19,12,12,12,6,132
Israel,37,30,32,29,29,33,26,34,31,18,13,18,20,15,11,13,11,3,313
Italia,190,164,157,100,152,141,143,191,146,134,106,127,128,134,81,80,64,13,"1,537"
Japón,143,159,160,156,157,172,263,297,267,274,275,238,250,265,234,193,185,84,"1,089"
Luxemburgo,6,18,11,9,14,14,8,11,8,10,9,8,17,11,6,13,12,C,121
Malasia,C,0,3,C,C,C,C,8,4,3,3,3,5,4,3,C,3,0,29
Nicaragua,8,8,4,3,C,3,4,3,C,C,0,4,C,4,C,C,C,0,37
Noruega,12,13,15,10,14,18,18,14,10,12,10,12,11,14,9,12,5,C,96
Nueva Zelandia,5,11,18,7,8,7,10,7,4,5,3,6,4,C,5,3,4,C,65
Países Bajos,197,199,178,175,172,178,161,189,135,97,78,86,97,96,76,68,70,39,"1,217"
Panamá,47,46,44,54,41,49,37,65,46,46,22,27,23,28,18,22,17,4,514
Perú,23,22,17,14,20,33,21,25,10,10,13,12,22,20,8,28,28,C,284
Polonia,3,8,3,C,5,C,7,6,7,3,C,3,4,C,C,7,9,0,65
Portugal,8,11,12,10,14,8,14,17,21,15,12,9,10,12,9,8,3,0,161
Puerto Rico,6,6,9,C,C,C,C,C,C,C,4,3,C,C,C,C,C,0,32
Reino Unido de la Gran Bretaña e Irlanda del Norte,204,209,207,165,176,190,167,176,152,114,98,126,149,171,130,138,125,37,"1,559"
República Checa,7,5,4,C,3,4,7,4,6,3,C,4,6,C,C,3,3,0,56
Singapur,17,17,18,16,30,27,29,25,19,12,8,10,14,11,11,25,20,C,193
Sudáfrica,7,4,6,3,3,6,5,6,C,4,C,4,C,3,3,C,C,C,30
Suecia,45,37,36,36,47,45,40,50,26,30,29,34,27,32,27,22,19,5,218
Suiza,123,89,111,109,77,80,82,96,77,80,65,72,82,95,71,53,50,17,656
Taiwán,34,34,24,35,28,35,23,22,17,17,18,14,17,16,14,12,12,4,157
Uruguay,28,32,27,22,41,31,31,29,17,18,12,5,13,17,7,9,9,3,275
"Venezuela, República Bolivariana de",80,77,80,64,66,90,51,83,73,85,75,70,70,41,21,23,9,C,963
Otros países,119,103,108,64,86,104,105,114,102,82,83,102,123,116,91,83,68,8,"1,148"
Total general,"7,749","7,729","6,938","5,868","5,936","6,281","5,871","6,491","5,065","4,562","4,361","4,432","4,998","5,026","4,043","4,334","3,905","1,378","46,302"
