País de Origen,Número de empresas
Alemania,"1,668"
Argentina,"1,483"
Australia,267
Austria,172
Bélgica,309
Belice,45
Brasil,579
Canadá,"3,159"
Chile,547
"China, República Popular de","1,006"
Colombia,"1,030"
"Corea, República de","1,139"
Costa Rica,212
Dinamarca,170
Ecuador,103
El Salvador,66
España,"5,345"
Estados Unidos de América,"20,465"
Federación de Rusia,91
Filipinas,16
Finlandia,56
Francia,"1,465"
Guatemala,216
Hong Kong,150
India,187
Indonesia,10
Irlanda,132
Israel,313
Italia,"1,537"
Japón,"1,089"
Luxemburgo,121
Malasia,29
Nicaragua,37
Noruega,96
Nueva Zelandia,65
Países Bajos,"1,217"
Panamá,514
Perú,284
Polonia,65
Portugal,161
Puerto Rico,32
Reino Unido de la Gran Bretaña e Irlanda del Norte,"1,559"
República Checa,56
Singapur,193
Sudáfrica,30
Suecia,218
Suiza,656
Taiwán,157
Uruguay,275
"Venezuela, República Bolivariana de",963
Otros países,"1,148"
Total general,"46,302"
